size(frames),Real(s),User(s),System(s)
10000,1.02,1.02,0.00
10850,1.22,1.22,0.00
11700,1.39,1.39,0.00
12550,1.61,1.60,0.00
13400,1.89,1.89,0.00
14250,2.09,2.06,0.02
15100,2.33,2.30,0.02
15950,2.60,2.58,0.02
16800,2.93,2.91,0.01
17650,3.19,3.15,0.04
18500,3.55,3.51,0.03
19350,3.83,3.79,0.03
20200,4.18,4.15,0.02
21050,4.57,4.50,0.06
21900,5.11,5.04,0.06
22750,5.66,5.65,0.00
23600,6.16,6.04,0.10
24450,6.58,6.54,0.00
25300,7.09,7.08,0.00
26150,10.12,10.10,0.00
27000,10.93,10.92,0.00
27850,12.83,12.81,0.00
28700,16.75,16.48,0.03
29550,22.76,22.29,0.38
30400,28.65,27.84,0.39
31250,24.62,24.40,0.00
32100,20.13,20.11,0.00
32950,16.32,16.30,0.00
33800,15.49,15.48,0.00
34650,13.14,13.08,0.00
35500,14.16,13.88,0.13
36350,13.79,13.63,0.14
37200,14.25,14.08,0.15
38050,14.77,14.62,0.14
38900,15.49,15.33,0.13
39750,16.25,16.04,0.19
40600,17.60,17.39,0.18
41450,18.94,18.70,0.20
42300,26.85,26.81,0.00
43150,39.86,39.71,0.00
44000,54.94,54.65,0.06
44850,35.75,35.71,0.00
45700,27.75,27.24,0.29
46550,23.16,23.14,0.00
47400,23.00,22.97,0.00
48250,24.09,24.07,0.00
49100,24.81,24.50,0.28
49950,25.65,25.52,0.06
50800,34.14,34.11,0.00
51650,60.20,60.10,0.00
52500,64.76,64.49,0.00
53350,37.92,37.89,0.00
54200,31.20,31.16,0.00
55050,31.06,31.04,0.00
55900,31.96,31.93,0.00
56750,33.14,33.01,0.00
57600,52.94,52.87,0.00
58450,91.34,86.02,0.33
59300,49.80,48.05,0.26
60150,37.88,37.67,0.10
61000,38.82,38.77,0.00
61850,42.52,41.84,0.25
62700,68.77,64.64,0.21
63550,114.60,108.07,0.79
64400,52.29,52.07,0.14
65250,43.47,43.39,0.04
66100,45.04,44.48,0.40
66950,58.09,57.35,0.60
67800,97.47,96.77,0.32
68650,54.89,54.58,0.18
69500,49.39,49.32,0.00
70350,50.53,50.50,0.00
71200,103.25,101.99,0.55
72050,88.71,88.43,0.00
72900,55.49,55.45,0.00
73750,55.87,55.79,0.00
74600,92.46,92.15,0.10
75450,109.65,109.04,0.10
76300,60.41,60.36,0.00
77150,60.83,60.79,0.00
78000,118.65,117.44,0.68
78850,95.01,94.21,0.52
79700,65.37,64.78,0.43
80550,73.61,73.39,0.14
81400,128.76,125.41,0.84
82250,70.70,70.60,0.00
83100,80.53,78.32,0.20
83950,153.82,144.66,0.45
84800,76.77,76.73,0.00
85650,78.34,78.29,0.00
86500,156.77,155.61,0.63
87350,82.42,81.40,0.86
88200,86.77,85.77,0.84
89050,144.29,142.40,1.19
89900,83.63,83.28,0.24
90750,121.84,121.23,0.12
91600,138.32,133.29,0.03
92450,100.13,99.46,0.45
93300,166.76,164.61,1.04
94150,95.06,94.08,0.19
95000,179.46,175.02,1.28
95850,95.14,95.07,0.00
96700,160.32,158.31,0.26
97550,120.42,120.12,0.00
98400,163.36,162.58,0.02
99250,124.87,124.44,0.14
