size(frames),Real(s),User(s),System(s)
10000,0.01,0.00,0.00
10850,0.01,0.01,0.00
11700,0.01,0.01,0.00
12550,0.01,0.01,0.00
13400,0.01,0.01,0.00
14250,0.01,0.01,0.00
15100,0.01,0.01,0.00
15950,0.01,0.01,0.00
16800,0.01,0.01,0.00
17650,0.02,0.01,0.00
18500,0.02,0.02,0.00
19350,0.02,0.02,0.00
20200,0.02,0.02,0.00
21050,0.02,0.02,0.00
21900,0.02,0.02,0.00
22750,0.02,0.02,0.00
23600,0.02,0.02,0.00
24450,0.02,0.02,0.00
25300,0.02,0.02,0.00
26150,0.02,0.02,0.00
27000,0.03,0.02,0.00
27850,0.03,0.03,0.00
28700,0.03,0.03,0.00
29550,0.03,0.03,0.00
30400,0.03,0.03,0.00
31250,0.03,0.03,0.00
32100,0.03,0.03,0.00
32950,0.03,0.03,0.00
33800,0.03,0.03,0.00
34650,0.04,0.03,0.00
35500,0.04,0.03,0.00
36350,0.04,0.04,0.00
37200,0.04,0.04,0.00
38050,0.04,0.04,0.00
38900,0.04,0.04,0.00
39750,0.04,0.04,0.00
40600,0.04,0.04,0.00
41450,0.04,0.04,0.00
42300,0.04,0.04,0.00
43150,0.05,0.04,0.00
44000,0.05,0.05,0.00
44850,0.05,0.04,0.00
45700,0.05,0.05,0.00
46550,0.05,0.05,0.00
47400,0.05,0.05,0.00
48250,0.05,0.05,0.00
49100,0.05,0.05,0.00
49950,0.05,0.05,0.00
50800,0.06,0.05,0.00
51650,0.06,0.06,0.00
52500,0.06,0.06,0.00
53350,0.06,0.06,0.00
54200,0.06,0.06,0.00
55050,0.06,0.06,0.00
55900,0.06,0.06,0.00
56750,0.06,0.06,0.00
57600,0.06,0.06,0.00
58450,0.06,0.06,0.00
59300,0.07,0.07,0.00
60150,0.07,0.06,0.00
61000,0.07,0.06,0.00
61850,0.07,0.07,0.00
62700,0.07,0.07,0.00
63550,0.07,0.07,0.00
64400,0.07,0.06,0.00
65250,0.07,0.07,0.00
66100,0.07,0.07,0.00
66950,0.08,0.07,0.00
67800,0.07,0.07,0.00
68650,0.07,0.07,0.00
69500,0.08,0.08,0.00
70350,0.08,0.08,0.00
71200,0.08,0.08,0.00
72050,0.08,0.08,0.00
72900,0.08,0.08,0.00
73750,0.08,0.08,0.00
74600,0.08,0.08,0.00
75450,0.09,0.08,0.00
76300,0.08,0.08,0.00
77150,0.09,0.08,0.00
78000,0.09,0.08,0.00
78850,0.09,0.08,0.00
79700,0.09,0.09,0.00
80550,0.09,0.09,0.00
81400,0.09,0.09,0.00
82250,0.10,0.09,0.00
83100,0.10,0.09,0.00
83950,0.10,0.10,0.00
84800,0.10,0.10,0.00
85650,0.10,0.10,0.00
86500,0.10,0.10,0.00
87350,0.10,0.10,0.00
88200,0.10,0.10,0.00
89050,0.10,0.10,0.00
89900,0.10,0.10,0.00
90750,0.11,0.10,0.00
91600,0.10,0.10,0.00
92450,0.11,0.10,0.00
93300,0.11,0.10,0.00
94150,0.11,0.10,0.00
95000,0.11,0.11,0.00
95850,0.11,0.11,0.00
96700,0.11,0.11,0.00
97550,0.11,0.11,0.00
98400,0.11,0.11,0.00
99250,0.11,0.11,0.00
