size(frames),Real(s),User(s),System(s)
10000,0.36,0.34,0.01
10850,0.41,0.41,0.00
11700,0.48,0.47,0.00
12550,0.55,0.55,0.00
13400,0.63,0.62,0.01
14250,0.72,0.71,0.00
15100,0.81,0.80,0.00
15950,0.90,0.89,0.00
16800,1.00,0.98,0.02
17650,1.10,1.08,0.00
18500,1.20,1.19,0.01
19350,1.32,1.31,0.00
20200,1.45,1.44,0.00
21050,1.55,1.55,0.00
21900,1.70,1.69,0.00
22750,1.81,1.81,0.00
23600,1.97,1.96,0.00
24450,2.12,2.08,0.03
25300,2.35,2.30,0.03
26150,2.48,2.46,0.00
27000,2.57,2.56,0.00
27850,2.70,2.70,0.00
28700,2.91,2.90,0.00
29550,3.04,3.04,0.00
30400,3.22,3.22,0.00
31250,3.44,3.43,0.00
32100,3.85,3.76,0.00
32950,3.76,3.76,0.00
33800,4.00,3.99,0.00
34650,4.21,4.21,0.00
35500,4.50,4.46,0.00
36350,4.62,4.61,0.00
37200,4.88,4.84,0.02
38050,5.04,5.03,0.00
38900,5.27,5.27,0.00
39750,5.47,5.46,0.00
40600,5.75,5.75,0.00
41450,6.01,6.01,0.00
42300,6.22,6.21,0.00
43150,6.48,6.47,0.00
44000,6.72,6.71,0.00
44850,7.05,7.05,0.00
45700,7.31,7.30,0.00
46550,7.53,7.52,0.00
47400,7.82,7.78,0.03
48250,8.15,8.14,0.00
49100,8.37,8.37,0.00
49950,8.67,8.66,0.00
50800,9.02,9.01,0.00
51650,9.26,9.25,0.00
52500,9.63,9.51,0.10
53350,9.96,9.85,0.10
54200,10.39,10.27,0.09
55050,10.98,10.80,0.11
55900,11.33,11.11,0.16
56750,11.52,11.32,0.14
57600,11.75,11.62,0.11
58450,12.80,12.21,0.20
59300,12.35,12.28,0.01
60150,12.57,12.43,0.10
61000,13.12,13.08,0.00
61850,13.71,13.55,0.01
62700,14.07,13.74,0.17
63550,14.27,14.12,0.13
64400,15.16,14.68,0.11
65250,15.66,15.22,0.06
66100,15.91,15.41,0.15
66950,15.65,15.44,0.18
67800,16.61,16.15,0.18
68650,17.06,16.90,0.00
69500,16.82,16.80,0.00
70350,17.43,17.36,0.00
71200,19.55,18.90,0.24
72050,25.37,25.20,0.00
72900,34.47,34.32,0.00
73750,28.07,28.01,0.00
74600,22.02,21.20,0.10
75450,20.52,20.50,0.00
76300,20.80,20.52,0.15
77150,21.58,21.14,0.10
78000,21.47,21.20,0.24
78850,23.50,22.58,0.06
79700,22.40,22.38,0.00
80550,25.70,25.40,0.18
81400,39.02,38.70,0.26
82250,45.90,44.78,0.01
83100,32.97,31.85,0.02
83950,26.21,25.95,0.00
84800,26.26,25.52,0.00
85650,25.75,25.74,0.00
86500,26.21,26.16,0.00
87350,27.18,27.02,0.00
88200,45.70,43.95,0.23
89050,65.49,63.35,0.01
89900,39.63,39.24,0.24
90750,31.47,30.13,0.40
91600,30.78,30.26,0.10
92450,31.89,31.12,0.31
93300,31.85,31.74,0.00
94150,45.25,44.50,0.33
95000,90.00,88.23,0.55
95850,65.41,61.79,0.60
96700,39.38,36.98,0.05
97550,39.17,36.45,0.13
98400,55.70,52.63,0.32
99250,109.01,103.94,0.10
